Model,WER (%),CER (%),Avg Inference Time (s),RTF,Throughput (samples/s)
Wav2Vec2-Indonesian,30.52164261931188,7.49743238616912,0.34382615248362225,0.089145928727864,2.9084465878366648
Whisper-small,40.62153163152053,11.55426223895926,4.454296788374583,1.1548930212576212,0.2245023283158709
Whisper-base,67.48057713651498,31.401917151660392,1.2059509205818175,0.3126743385833909,0.829221142364189
Whisper-tiny,79.35627081021087,60.50154056829853,0.6524604852994283,0.16916745715851553,1.532659866047027
